id,nom,email,city,pays,date_inscription,categorie_client
1,Marc Lacroix-Seguin,marc.seguin5862@shopflow.com,La Plata,Argentine,2025-08-13,nouveau
2,Roger Perrot,roger.perrot9726@shopflow.com,Los Angeles,Etats-Unis,2026-02-27,fidele
3,Simone Marin du Clément,simone.clement8102@shopflow.com,Kyoto,Japon,2025-08-19,fidele
4,Léon Imbert,leon.imbert2512@shopflow.com,Buenos Aires,Argentine,2025-08-13,fidele
5,Bernard Lopez-Perrot,bernard.perrot3663@shopflow.com,Tanger,Maroc,2025-06-13,fidele
6,Paulette Becker,paulette.becker196@shopflow.com,Assouan,Egypte,2026-03-29,nouveau
7,Alexandre de Petitjean,alexandre.petitjean6277@shopflow.com,Kisumu,Kenya,2025-09-24,fidele
8,Constance Mathieu,constance.mathieu4246@shopflow.com,Yogyakarta,Indonesie,2026-04-03,nouveau
9,Laetitia de Hubert,laetitia.hubert638@shopflow.com,Kyoto,Japon,2025-06-26,nouveau
10,Inès Ruiz,ines.ruiz1209@,Christchurch,Nouvelle-Zelande,2025-12-29,fidele
11,Roger-Hugues Michaud,roger.michaud3077@shopflow.com,Bloemfontein,Afrique du Sud,2025-11-17,fidele
12,Manon Le Fournier,manon.fournier3361@shopflow.com,Marseille,France,2025-05-05,nouveau
13,Patrick-Laurent Cousin,patrick.cousin5465@shopflow.com,Salvador,Bresil,2025-09-20,fidele
14,Éric Vasseur de la Clerc,eric.clerc4521@shopflow.com,Wellington,Nouvelle-Zelande,2025-08-15,fidele
15,Claire-Andrée Paris,claire.paris2320@shopflow.com,Seoul,Coree du Sud,2025-10-29,nouveau
16,Louise du Lemoine,louise.lemoine4635@shopflow.com,Nairobi,Kenya,2025-08-14,fidele
17,Guillaume Toussaint,guillaume.toussaint5348@shopflow.com,Mombasa,Kenya,2026-01-15,fidele
18,Jeannine Cousin de Pascal,jeannine.pascal3622@shopflow.com,Delhi,Inde,2025-07-25,fidele
19,Noémi Barbe,noemi.barbe1553@shopflow.com,Bordeaux,France,2026-01-29,fidele
20,Laurent Maillot,laurent.maillot4683@@shopflow.com,inconnue,Maroc,2025-12-04,fidele
21,Timothée de la Gosselin,timothee.gosselin1325@shopflow.com,Brasilia,Bresil,2025-12-09,nouveau
22,Élodie Wagner,elodie.wagner9359@shopflow.com,Bangalore,Inde,2026-03-09,nouveau
23,Margot de Auger,margot.auger276@shopflow.com,Adelaide,Australie,2026-01-15,nouveau
24,Noël Rey,noel.rey3554@shopflow.com,Nakuru,Kenya,2025-08-30,fidele
25,Chantal Baudry,chantal.baudry3696@shopflow.com,Ankara,Turquie,2026-02-14,nouveau
26,Odette-Frédérique Collin,odette.collin9565@shopflow.com,Tokyo,Japon,2026-04-05,nouveau
27,Françoise Bigot,francoise.bigot8455@shopflow.com,Assouan,Egypte,2025-05-11,nouveau
28,Alfred Hardy du Bertin,alfred.bertin2187@shopflow.com,Rabat,Maroc,2026-03-18,nouveau
29,Adèle Ramos,adele.ramos6563@shopflow.com,Le Caire,Egypte,2025-08-17,fidele
30,Bernard Le Weiss,bernard.weiss8979@@shopflow.com,Adelaide,Australie,2025-09-14,fidele
31,Henri-Patrick Cohen,henri.cohen6266@shopflow.com,Shanghai,Chine,2026-04-20,fidele
32,Patrick Lebon,patrick.lebon6993@shopflow.com,Hamilton,Nouvelle-Zelande,2025-07-11,nouveau
34,Colette Didier-Fabre,colette.fabre7131@shopflow.com,Rabat,Maroc,2025-06-19,fidele
35,Éric Martineau,eric.martineau3143@shopflow.com,Adelaide,Australie,2025-06-29,nouveau
36,Honoré Devaux Le Vallée,honore.vallee2857@shopflow.com,Brasilia,Bresil,2026-04-03,fidele
37,Henri Blanchard,henri.blanchard1900@shopflow.com,Marrakech,Maroc,2025-09-28,nouveau
38,Sophie Marchal,sophie.marchal1536@shopflow.com,Daejeon,Coree du Sud,2025-10-09,fidele
